Commit	Status
d5fd37f00f1ec5e4a4b0d87f5af0b93f36aab271	{"reference":"test-pass","rust-by-example":"test-pass","edition-guide":"test-pass","rustbook":"test-fail","miri":"test-pass","book":"test-pass","embedded-book":"test-pass","rls":"test-pass","cargo-miri":"test-fail","nomicon":"test-pass"}
2939249f294dd54a9ce78a8ee1f2922a44e7fb7c	{"embedded-book":"test-pass","edition-guide":"test-pass","rls":"test-pass","rust-by-example":"test-pass","reference":"test-pass","book":"test-pass","cargo-miri":"test-fail","nomicon":"test-pass","miri":"test-pass","rustbook":"test-fail"}
3354a44d2fa8d5ba6b8d6b40d2596de2c8292ec1	{"edition-guide":"test-pass","rustbook":"test-fail","nomicon":"test-pass","rls":"test-pass","book":"test-pass","reference":"test-pass","embedded-book":"test-pass","cargo-miri":"test-fail","rust-by-example":"test-pass","miri":"test-pass"}
e91405b9d5c8dabb3e488bafb314147f1050f9b9	{"cargo-miri":"test-fail","rustbook":"test-fail","edition-guide":"test-pass","book":"test-pass","rls":"test-pass","embedded-book":"test-pass","nomicon":"test-pass","reference":"test-pass","miri":"test-pass","rust-by-example":"test-pass"}
810b9267f38a398c28dd213bad4acc58dce0199a	{"rls":"test-pass","cargo-miri":"test-fail","reference":"test-pass","book":"test-pass","miri":"test-pass","edition-guide":"test-pass","rust-by-example":"test-pass","nomicon":"test-pass","embedded-book":"test-pass","rustbook":"test-fail"}
f63ab6cfa241cad4926bc74c8f54988c33714c3d	{"miri":"test-pass","rls":"test-pass","nomicon":"test-pass","reference":"test-pass","embedded-book":"test-pass","rust-by-example":"test-pass","edition-guide":"test-pass","book":"test-pass","cargo-miri":"test-fail","rustbook":"test-fail"}
e3b1c12becebd21d88ca9f4364d7db8d1d380c18	{"rustbook":"test-fail","book":"test-pass","miri":"test-pass","embedded-book":"test-pass","edition-guide":"test-pass","rust-by-example":"test-pass","nomicon":"test-pass","reference":"test-pass","rls":"test-pass","cargo-miri":"test-fail"}
b4a85dafda05adfb2eef3f13277ce3f52db4b23e	{"reference":"test-pass","rls":"test-pass","rustbook":"test-fail","miri":"build-fail","book":"test-pass","nomicon":"test-pass","edition-guide":"test-pass","embedded-book":"test-pass","cargo-miri":"test-fail","rust-by-example":"test-pass"}
6be8a06bcf2e7c45db2f9e3dd3c9c0e282562a93	{"book":"test-pass","rust-by-example":"test-pass","reference":"test-pass","miri":"build-fail","rustbook":"test-fail","edition-guide":"test-pass","nomicon":"test-pass","rls":"test-pass","embedded-book":"test-pass","cargo-miri":"test-fail"}
3227e35765bab6d02c581928e26ad1d34bacf394	{"edition-guide":"test-pass","rls":"test-pass","reference":"test-pass","book":"test-pass","rust-by-example":"test-pass","cargo-miri":"test-fail","miri":"build-fail","embedded-book":"test-pass","nomicon":"test-pass","rustbook":"test-fail"}
d08460e70cd77945ecfa6f4826c82ed4ba29fb76	{"rustbook":"test-fail","cargo-miri":"test-fail","miri":"test-pass","embedded-book":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","edition-guide":"test-pass","book":"test-pass","reference":"test-pass","rls":"test-pass"}
76d247c00a9203c69d6c11a84075392ebb8c3fc5	{"miri":"test-pass","rust-by-example":"test-pass","edition-guide":"test-pass","rls":"test-pass","nomicon":"test-pass","rustbook":"test-fail","reference":"test-pass","cargo-miri":"test-fail","book":"test-pass","embedded-book":"test-pass"}
b53a93db2d7717c3bde196cfcf5f214cc00d4937	{"edition-guide":"test-pass","miri":"test-pass","rls":"test-pass","book":"test-pass","embedded-book":"test-pass","reference":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","rustbook":"test-fail","cargo-miri":"test-fail"}
71c86470dda17b5c0a0f46341937ade4295d5787	{"nomicon":"test-pass","rustbook":"test-fail","cargo-miri":"test-fail","edition-guide":"test-pass","rls":"test-pass","reference":"test-pass","rust-by-example":"test-pass","book":"test-pass","miri":"test-pass","embedded-book":"test-pass"}
effea9a2a0d501db5722d507690a1a66236933bf	{"embedded-book":"test-pass","miri":"test-pass","book":"test-pass","nomicon":"test-pass","cargo-miri":"test-fail","reference":"test-pass","edition-guide":"test-pass","rust-by-example":"test-pass","rls":"test-pass","rustbook":"test-fail"}
24bbf7ac2fd6f5e71f5a4873baa4456e45bd648d	{"rust-by-example":"test-pass","reference":"test-pass","rustbook":"test-fail","rls":"test-pass","miri":"test-pass","edition-guide":"test-pass","nomicon":"test-pass","book":"test-pass","cargo-miri":"test-fail","embedded-book":"test-pass"}
cd5a90fb14bb8cb2276d9740925c9858ea507429	{"rust-by-example":"test-pass","reference":"test-pass","edition-guide":"test-pass","nomicon":"test-pass","rustbook":"test-fail","book":"test-pass","miri":"test-pass","rls":"test-pass","cargo-miri":"test-fail","embedded-book":"test-pass"}
2827db2b137e899242e81f1beea39ae26e245153	{"rustbook":"test-fail","nomicon":"test-pass","book":"test-pass","edition-guide":"test-pass","reference":"test-pass","cargo-miri":"test-fail","rls":"test-pass","miri":"test-pass","embedded-book":"test-pass","rust-by-example":"test-pass"}
4e21ef2a4eca12180e24a345d66066fc1e4e36da	{"rust-by-example":"test-pass","reference":"test-pass","embedded-book":"test-pass","rustbook":"test-fail","cargo-miri":"test-fail","book":"test-pass","nomicon":"test-pass","miri":"test-pass","edition-guide":"test-pass","rls":"test-pass"}
2e9c8705e94826da6aebe46512b4e3bbfc9e008f	{"book":"test-pass","nomicon":"test-pass","rustbook":"test-fail","rls":"test-pass","miri":"test-pass","reference":"test-pass","edition-guide":"test-pass","embedded-book":"test-pass","rust-by-example":"test-pass","cargo-miri":"test-fail"}
8d57c0ab2b2e1aae07c1b8638358fb7a909940bc	{"cargo-miri":"test-fail","miri":"test-pass","rust-by-example":"test-pass","embedded-book":"test-pass","edition-guide":"test-pass","nomicon":"test-pass","reference":"test-pass","book":"test-pass","rls":"test-pass","rustbook":"test-fail"}
aadd6189ad5c81f50d942c584ed1c1b49892765f	{"nomicon":"test-pass","miri":"test-pass","rustbook":"test-fail","cargo-miri":"test-fail","book":"test-pass","edition-guide":"test-pass","reference":"test-pass","embedded-book":"test-pass","rls":"test-pass","rust-by-example":"test-pass"}
eaab0ccc385a561c017f51382a76efe85544d759	{"book":"test-pass","rust-by-example":"test-pass","rustbook":"test-fail","reference":"test-pass","cargo-miri":"test-fail","rls":"test-pass","embedded-book":"test-pass","edition-guide":"test-pass","nomicon":"test-pass","miri":"test-pass"}
f381e77d3590bc36f09b0d48cffb504f92febf5e	{"reference":"test-pass","cargo-miri":"test-fail","rust-by-example":"test-pass","embedded-book":"test-pass","nomicon":"test-pass","rls":"test-pass","edition-guide":"test-pass","rustbook":"test-fail","miri":"test-pass","book":"test-pass"}
a0a6babf191847038860207075667effc9a67dec	{"rustbook":"test-fail","miri":"test-pass","book":"test-pass","edition-guide":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","reference":"test-pass","cargo-miri":"test-fail","embedded-book":"test-pass","rls":"test-pass"}
a2522c6c85a7388a80cb33edc2ce2631b0695f99	{"cargo-miri":"test-fail","nomicon":"test-pass","embedded-book":"test-pass","miri":"test-pass","edition-guide":"test-pass","rust-by-example":"test-pass","book":"test-pass","reference":"test-pass","rustbook":"test-fail","rls":"test-pass"}
4e282795d7d1d28a4c6c1c6521045ae2b59f3519	{"edition-guide":"test-pass","embedded-book":"test-pass","rls":"test-pass","rustbook":"test-fail","rust-by-example":"test-pass","cargo-miri":"test-fail","nomicon":"test-pass","miri":"test-pass","reference":"test-pass","book":"test-pass"}
29f8de06d18cf197fbd229accdce82da62ba22e9	{"cargo-miri":"test-fail","reference":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","embedded-book":"test-pass","edition-guide":"test-pass","miri":"test-pass","rustbook":"test-fail","book":"test-pass","rls":"test-pass"}
337181e07d3cd33c0aec2f17c12279bc9afca88f	{"miri":"test-pass","embedded-book":"test-pass","rustbook":"test-fail","rust-by-example":"test-pass","reference":"test-pass","book":"test-pass","cargo-miri":"test-fail","nomicon":"test-pass","rls":"test-pass","edition-guide":"test-pass"}
d2ee2ddf869eb476be3ec0f3f9250f3efdbf3aab	{"rls":"test-pass","rustbook":"test-fail","cargo-miri":"test-fail","book":"test-pass","nomicon":"test-pass","edition-guide":"test-pass","reference":"test-pass","embedded-book":"test-pass","miri":"test-pass","rust-by-example":"test-pass"}
92f015cefdfc37b37b6e9392a638f1fc9fdf3b7f	{"embedded-book":"test-pass","cargo-miri":"test-fail","miri":"test-pass","rustbook":"test-fail","book":"test-pass","edition-guide":"test-pass","rls":"test-pass","rust-by-example":"test-pass","reference":"test-pass","nomicon":"test-pass"}
7069a8c2b78c5d23205de1cabb4c2a65229dbd8f	{"cargo-miri":"test-fail","embedded-book":"test-pass","nomicon":"test-pass","reference":"test-pass","rust-by-example":"test-pass","rustbook":"test-fail","miri":"test-pass","edition-guide":"test-pass","book":"test-pass","rls":"test-pass"}
6b0b07d41f07e1ba5808693d900903499ccf7a32	{"cargo-miri":"test-fail","miri":"test-pass","edition-guide":"test-pass","reference":"test-pass","embedded-book":"test-pass","book":"test-pass","rust-by-example":"test-pass","rls":"test-pass","nomicon":"test-pass","rustbook":"test-fail"}
b289bb7fdfcb6f54d825927ab9b5722cabc2a140	{"rustbook":"test-fail","edition-guide":"test-pass","nomicon":"test-pass","reference":"test-pass","embedded-book":"test-pass","cargo-miri":"test-fail","rust-by-example":"test-pass","miri":"test-pass","rls":"test-pass","book":"test-pass"}
3fbd225b9e340a1c2aee3a4a1eb315d027082b51	{"embedded-book":"test-pass","rust-by-example":"test-pass","miri":"test-pass","nomicon":"test-pass","cargo-miri":"test-fail","edition-guide":"test-pass","rustbook":"test-fail","book":"test-pass","reference":"test-pass","rls":"test-pass"}
199d1aebe472585e1066334d5e1f740f02eba661	{"reference":"test-pass","miri":"test-pass","nomicon":"test-pass","cargo-miri":"test-fail","rustbook":"test-fail","embedded-book":"test-pass","rust-by-example":"test-pass","rls":"test-pass","book":"test-pass","edition-guide":"test-pass"}
1f0a591b3a5963a0ab11a35dc525ad9d46f612e4	{"embedded-book":"test-pass","reference":"test-pass","book":"test-pass","rls":"test-pass","cargo-miri":"test-fail","edition-guide":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","rustbook":"test-fail","miri":"test-pass"}
ef9549b6c0efb7525c9b012148689c8d070f9bc0	{"edition-guide":"test-pass","nomicon":"test-pass","book":"test-pass","rls":"test-pass","rust-by-example":"test-pass","rustbook":"test-fail","cargo-miri":"test-fail","miri":"test-pass","reference":"test-pass","embedded-book":"test-pass"}
f3f8e758f2b2abd84b76bcb4ec0b6ae263e1e7b9	{"book":"test-pass","rls":"test-pass","cargo-miri":"test-fail","rust-by-example":"test-pass","nomicon":"test-pass","miri":"test-pass","reference":"test-pass","rustbook":"test-fail","edition-guide":"test-pass","embedded-book":"test-pass"}
87dc8242484110c75596a91ebd2043a476c09839	{"miri":"test-pass","embedded-book":"test-pass","rust-by-example":"test-pass","nomicon":"test-pass","cargo-miri":"test-fail","reference":"test-pass","book":"test-pass","rustbook":"test-fail","rls":"test-pass","edition-guide":"test-pass"}
1195bea5a7b73e079fa14b37ac7e375fc77d368a	{"miri":"test-pass","rls":"test-pass","book":"test-pass","rust-by-example":"test-pass","nomicon":"test-pass","rustbook":"test-fail","cargo-miri":"test-fail","edition-guide":"test-pass","embedded-book":"test-pass","reference":"test-pass"}
f739552870cdb23d433478739b371f22b155af8a	{"edition-guide":"test-pass","book":"test-pass","nomicon":"test-pass","embedded-book":"test-pass","cargo-miri":"test-fail","rustbook":"test-fail","rust-by-example":"test-pass","reference":"test-pass","miri":"test-pass","rls":"test-pass"}
fe1c942eee3489743d655d81ca89166217db0547	{"edition-guide":"test-pass","rustbook":"test-fail","rls":"test-pass","book":"test-pass","miri":"test-pass","reference":"test-pass","embedded-book":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","cargo-miri":"test-fail"}
cceadd1c0cc90c1b0c476ea250d90ed2001a227f	{"book":"test-pass","cargo-miri":"test-fail","miri":"test-pass","nomicon":"test-pass","rustbook":"test-fail","edition-guide":"test-pass","rls":"test-pass","rust-by-example":"test-pass","reference":"test-pass","embedded-book":"test-pass"}
e66a8c260c0bcc4e7a8943f01d75d70ff640fb38	{"rls":"test-pass","reference":"test-pass","nomicon":"test-pass","embedded-book":"test-pass","edition-guide":"test-pass","rustbook":"test-fail","book":"test-pass","miri":"test-pass","cargo-miri":"test-fail","rust-by-example":"test-pass"}
492723897e9b4db6701b3a75b72618d08a7d5319	{"rust-by-example":"test-pass","rls":"test-pass","reference":"test-pass","miri":"test-pass","nomicon":"test-pass","book":"test-pass","cargo-miri":"test-fail","edition-guide":"test-pass","embedded-book":"test-pass","rustbook":"test-fail"}
a985d8e6c7f0519fa1e147854430a381ac4eadf8	{"miri":"test-pass","rust-by-example":"test-pass","reference":"test-pass","rls":"test-pass","book":"test-pass","nomicon":"test-pass","embedded-book":"test-pass","edition-guide":"test-pass","cargo-miri":"test-fail","rustbook":"test-fail"}
260af5fb771243a2d36a04c177dc7307f16253c2	{"embedded-book":"test-pass","rustbook":"test-fail","reference":"test-pass","rust-by-example":"test-pass","miri":"test-pass","rls":"test-pass","cargo-miri":"test-fail","edition-guide":"test-pass","nomicon":"test-pass","book":"test-pass"}
bb90feac6cba78548cdbb81143d8bb45ee82265d	{"cargo-miri":"test-fail","rls":"test-pass","rust-by-example":"test-pass","nomicon":"test-pass","rustbook":"test-fail","reference":"test-pass","embedded-book":"test-pass","edition-guide":"test-pass","miri":"test-pass","book":"test-pass"}
8704e8d4c76cbf3ebd19a026b69b35956426dc8e	{"rls":"test-pass","reference":"test-pass","edition-guide":"test-pass","embedded-book":"test-pass","miri":"test-pass","cargo-miri":"test-fail","book":"test-pass","rust-by-example":"test-pass","rustbook":"test-fail","nomicon":"test-pass"}
5fb3394cbdf0622c9d0c292feb55db0f4c828dc3	{"miri":"test-pass","edition-guide":"test-pass","nomicon":"test-pass","reference":"test-pass","embedded-book":"test-pass","cargo-miri":"test-fail","rustbook":"test-fail","book":"test-pass","rls":"test-pass","rust-by-example":"test-pass"}
6e0a8bf7901a3fe2e073b1e702e80f58b76d5087	{"reference":"test-pass","miri":"test-pass","book":"test-pass","rustbook":"test-fail","embedded-book":"test-pass","edition-guide":"test-pass","rls":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","cargo-miri":"test-fail"}
34e37bdbb491451aa684976d765796616b217443	{"edition-guide":"test-pass","rust-by-example":"test-pass","rustbook":"test-fail","book":"test-pass","embedded-book":"test-pass","miri":"test-pass","rls":"test-pass","reference":"test-pass","cargo-miri":"test-fail","nomicon":"test-pass"}
581b1664c92f78f3d15181c78a16480987256ecb	{"embedded-book":"test-pass","book":"test-pass","reference":"test-pass","rls":"test-pass","rust-by-example":"test-pass","edition-guide":"test-pass","rustbook":"test-fail","nomicon":"test-pass","cargo-miri":"test-fail","miri":"test-pass"}
85237886df31ba237acd3b7912336704026813f5	{"cargo-miri":"test-fail","miri":"test-pass","book":"test-pass","embedded-book":"test-pass","rls":"test-pass","edition-guide":"test-pass","reference":"test-pass","rustbook":"test-fail","nomicon":"test-pass","rust-by-example":"test-pass"}
4533be947b011c9bde4871ae93e6553b24cc5ec6	{"nomicon":"test-pass","edition-guide":"test-pass","reference":"test-pass","rls":"test-pass","cargo-miri":"test-fail","rustbook":"test-fail","miri":"test-pass","book":"test-pass","rust-by-example":"test-pass","embedded-book":"test-pass"}
b70888601af92f6cdc0364abab3446e418b91d36	{"rust-by-example":"test-pass","rls":"test-pass","miri":"test-pass","embedded-book":"test-pass","reference":"test-pass","nomicon":"test-pass","rustbook":"test-fail","cargo-miri":"test-fail","edition-guide":"test-pass","book":"test-pass"}
a28109a7679fbb254ca0962865a8b32b91ddbbd9	{"book":"test-pass","nomicon":"test-pass","edition-guide":"test-pass","rls":"test-pass","rust-by-example":"test-pass","rustbook":"test-fail","embedded-book":"test-pass","miri":"build-fail","reference":"test-pass","cargo-miri":"test-fail"}
6cc0b8ee7c585be0ef58b5dd5f8756d98430e700	{"rustbook":"test-fail","edition-guide":"test-pass","rust-by-example":"test-pass","nomicon":"test-pass","cargo-miri":"test-fail","miri":"build-fail","rls":"test-pass","book":"test-pass","reference":"test-pass","embedded-book":"test-pass"}
eba3228b2a9875d268ff3990903d04e19f6cdb0c	{"edition-guide":"test-pass","nomicon":"test-pass","rustbook":"test-fail","rls":"test-pass","reference":"test-pass","rust-by-example":"test-pass","miri":"build-fail","embedded-book":"test-pass","cargo-miri":"test-fail","book":"test-pass"}
aea2e446f09b923d513013743b37b43fca7282dc	{"edition-guide":"test-pass","rustbook":"test-fail","book":"test-pass","rls":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","reference":"test-pass","miri":"build-fail","embedded-book":"test-pass","cargo-miri":"test-fail"}
